BASE Meta-Kollektion                        BASE_meta_collection                        BASE Bielefeld Academic Search Engine
Verbunddaten SWB                            UBL / K10plus Verbundkatalog                BSZ (SWB)
DOAB Directory of Open Access Books (adl... DOAB Directory of Open Access Books         DOAB Directory of Open Access Books
Qucosa                                      Qucosa                                      Qucosa
Répertoire International des Sources Mu...  RISM Répertoire International des Sourc...  Répertoire International des Sources Mu...
Diss online - Medien- und Kommunikations... DNB / Diss Online / Medien und Kommunika... Diss Online
Music Treasures Consortium                  Music Treasures Consortium                  Music Treasures Consortium
DOAB Directory of Open Access Books         DOAB Directory of Open Access Books         DOAB Directory of Open Access Books
Early Music Online                          Early Music Online                          Early Music Online
UrMEL Zeitschriften                         UBL / Digitalisierte Zeitschriften (UrME... UrMEL - Universal Multimedia Electronic ...
Petrucci Musikbibliothek                    IMSLP (Petrucci Library)                    imslp.org (Petrucci)
Qucosa / Kommunikations- und Medienwisse... Qucosa                                      Qucosa
Taylor & Francis Online Archive [keine A... Taylor & Francis Online Archive             Nationallizenzen (eBooks / Monographien)...
Music Online Reference                      Music Online Reference                      Nationallizenzen (eBooks / Monographien)...
EBSCOhost eBook Collection                  EBSCOhost eBook Collection                  Nationallizenzen (eBooks / Monographien)...
Lippincott Williams & Wilkins 'LWW Legac... Lippincott Williams & Wilkins 'LWW Legac... Nationallizenzen (eBooks / Monographien)...
Making of Modern Law : Primary Sources, ... Making of Modern Law Primary Sources, 16... Nationallizenzen (eBooks / Monographien)...
Nineteenth Century U.S. Newspapers [kein... Nineteenth Century U.S. Newspapers          Nationallizenzen (eBooks / Monographien)...
American Antiquarian Society (AAS) Histo... American Antiquarian Society (AAS) Histo... Nationallizenzen (eBooks / Monographien)...
Religion & Theologie des 16.-19. Jahrhun... Religion & Theologie des 16.-19. Jahrhun... Nationallizenzen (eBooks / Monographien)...
Oxford Journals Digital Archive 1849-201... Oxford Journals Digital Archive 1849-201... Nationallizenzen (eBooks / Monographien)...
American Antiquarian Society (AAS) Histo... American Antiquarian Society (AAS) Histo... Nationallizenzen (eBooks / Monographien)...
American Antiquarian Society (AAS) Histo... American Antiquarian Society (AAS) Histo... Nationallizenzen (eBooks / Monographien)...
African Writers Series                      African Writers Series                      Nationallizenzen (eBooks / Monographien)...
American Antiquarian Society (AAS) Histo... American Antiquarian Society (AAS) Histo... Nationallizenzen (eBooks / Monographien)...
World Bank E-Library Archive                World Bank E-Library Archive                Nationallizenzen (eBooks / Monographien)...
America's Historical Newspapers [keine A... America's Historical Newspapers             Nationallizenzen (eBooks / Monographien)...
American Antiquarian Society (AAS) Histo... American Antiquarian Society (AAS) Histo... Nationallizenzen (eBooks / Monographien)...
Central and Eastern European Online Libr... Central and Eastern European Online Libr... Nationallizenzen (eBooks / Monographien)...
British Periodicals Collection I+II [kei... British Periodicals Collection I+II         Nationallizenzen (eBooks / Monographien)...
Twentieth Century North American Drama      Twentieth Century North American Drama      Nationallizenzen (eBooks / Monographien)...
Der Literarische Expressionismus Online     Der Literarische Expressionismus Online     Nationallizenzen (eBooks / Monographien)...
China Ancient Books [nur Hauptaufnahme]     China Ancient Books                         Nationallizenzen (eBooks / Monographien)...
Digital Karl Barth Library                  Digital Karl Barth Library                  Nationallizenzen (eBooks / Monographien)...
English Language Women's Literature of t... English Language Women's Literature of t... Nationallizenzen (eBooks / Monographien)...
Digital Library of the Catholic Reformat... Digital Library of the Catholic Reformat... Nationallizenzen (eBooks / Monographien)...
Torrossa / Monografie                       Torrossa / Monografie                       Nationallizenzen (eBooks / Monographien)...
Eighteenth Century Journals : A Portal t... Eighteenth Century Journals; Newspapers ... Nationallizenzen (eBooks / Monographien)...
The Gerritsen Collection / Women's Histo... The Gerritsen Collection / Women`s Histo... Nationallizenzen (eBooks / Monographien)...
Digital Library of Classic Protestant Te... Digital Library of Classic Protestant Te... Nationallizenzen (eBooks / Monographien)...
World Scientific Pub Co Pte Lt (CrossRef... Co-Published with NUS &; Institute of Po... Crossref
ONTSI (CrossRef)                            ONTSI (CrossRef)                            Crossref
PressReader (via Digento)                   PressReader                                 PressReader (via Digento)
Media Perspektiven                          Media Perspektiven                          Media Perspektiven
Primary Sources for Slavic Studies          Primary Sources for Slavic Studies          Primary Sources for Slavic Studies
Elsevier Handbooks in Economics             Handbooks in Economics Series               Nationallizenzen (eBooks / Monographien)...
PDA Print VUB (adlr Profil)                 PDA Print VUB                               VUB PDA print dt (UBL Profil)
JSTOR Arts & Sciences VI Archive            JSTOR Arts & Sciences VI Archive            JSTOR
PDA Print Nielsen                           PDA Print Nielsen                           Nielsen Book Data (UBL Profil)
SSOAR Social Science Open Access Reposit... SSOAR Social Science Open Access Reposit... SSOAR Social Science Open Access Reposit...
JSTOR Business & Economics                  JSTOR Business & Economics                  JSTOR
