0	2022-01-01
0	2022-01-02
0	2022-01-03
0	2022-01-04
0	2022-01-05
0	2022-01-06
0	2022-01-07
0	2022-01-08
0	2022-01-09
0	2022-01-10
0	2022-01-11
0	2022-01-12
0	2022-01-13
0	2022-01-14
2646	2022-01-15
1239	2022-01-16
0	2022-01-17
946	2022-01-18
0	2022-01-19
0	2022-01-20
4505	2022-01-21
0	2022-01-22
0	2022-01-23
0	2022-01-24
0	2022-01-25
782	2022-01-26
1159	2022-01-27
0	2022-01-28
0	2022-01-29
0	2022-01-30
1211	2022-01-31
0	2022-02-01
1109	2022-02-02
0	2022-02-03
0	2022-02-04
0	2022-02-05
3166	2022-02-06
0	2022-02-07
0	2022-02-08
3412	2022-02-09
0	2022-02-10
0	2022-02-11
0	2022-02-12
0	2022-02-13
0	2022-02-14
573	2022-02-15
0	2022-02-16
3460	2022-02-17
0	2022-02-18
6220	2022-02-19
0	2022-02-20
0	2022-02-21
0	2022-02-22
987	2022-02-23
0	2022-02-24
0	2022-02-25
3123	2022-02-26
0	2022-02-27
0	2022-02-28
2934	2022-03-01
0	2022-03-02
1970	2022-03-03
0	2022-03-04
0	2022-03-05
0	2022-03-06
0	2022-03-07
5520	2022-03-08
0	2022-03-09
0	2022-03-10
0	2022-03-11
0	2022-03-12
0	2022-03-13
0	2022-03-14
0	2022-03-15
5160	2022-03-16
0	2022-03-17
0	2022-03-18
2353	2022-03-19
0	2022-03-20
2132	2022-03-21
0	2022-03-22
0	2022-03-23
0	2022-03-24
0	2022-03-25
0	2022-03-26
0	2022-03-27
1006740852	2022-03-28
11532021819	2022-03-29
10330419391	2022-03-30
11268028364	2022-03-31
11470856982	2022-04-01
13419011790	2022-04-02
13751449046	2022-04-03
12066016375	2022-04-04
10514370224	2022-04-05
8545058700	2022-04-06
2482980062	2022-04-07
393789704	2022-04-08
239838418	2022-04-09
126019774	2022-04-10
408896717	2022-04-11
769640875	2022-04-12
1437414760	2022-04-13
597463842	2022-04-14
395730675	2022-04-15
323007053	2022-04-16
201653937	2022-04-17
515725518	2022-04-18
719557826	2022-04-19
543963152	2022-04-20
688073052	2022-04-21
608310522	2022-04-22
253483131	2022-04-23
148516307	2022-04-24
501161245	2022-04-25
682637911	2022-04-26
704719352	2022-04-27
663837933	2022-04-28
676509152	2022-04-29
320674925	2022-04-30
186331389	2022-05-01
487352096	2022-05-02
529003101	2022-05-03
708255482	2022-05-04
884803207	2022-05-05
955762983	2022-05-06
646219404	2022-05-07
444212855	2022-05-08
741312971	2022-05-09
1031013913	2022-05-10
937558907	2022-05-11
1167647027	2022-05-12
1030765667	2022-05-13
867284053	2022-05-14
876469154	2022-05-15
1102799913	2022-05-16
1256987314	2022-05-17
1599760236	2022-05-18
1497494246	2022-05-19
1462507997	2022-05-20
1196327250	2022-05-21
1104842237	2022-05-22
1726473965	2022-05-23
1887451430	2022-05-24
2320362390	2022-05-25
2234336420	2022-05-26
2740418447	2022-05-27
2139522693	2022-05-28
1458393474	2022-05-29
2769078952	2022-05-30
650658635	2022-05-31
695581463	2022-06-01
639844041	2022-06-02
631976658	2022-06-03
384496572	2022-06-04
138671772	2022-06-05
436869585	2022-06-06
665895750	2022-06-07
547260583	2022-06-08
621577083	2022-06-09
821788919	2022-06-10
658924196	2022-06-11
523647631	2022-06-12
766889294	2022-06-13
726373380	2022-06-14
901093507	2022-06-15
1016836276	2022-06-16
1043718860	2022-06-17
504055643	2022-06-18
437367832	2022-06-19
698187395	2022-06-20
940357718	2022-06-21
1487248879	2022-06-22
1451220267	2022-06-23
1311015057	2022-06-24
1207842447	2022-06-25
1511935910	2022-06-26
1427993116	2022-06-27
1297577051	2022-06-28
1354609087	2022-06-29
1578840363	2022-06-30
1427858017	2022-07-01
1275654233	2022-07-02
1161259456	2022-07-03
1631837301	2022-07-04
1543620775	2022-07-05
1892161585	2022-07-06
1995986328	2022-07-07
1931671884	2022-07-08
1589023704	2022-07-09
1622796246	2022-07-10
2277360605	2022-07-11
2778191448	2022-07-12
